Word	Frequency
Donaldson	6
Draper	6
Duckworth	6
Dwayne	6
Eaton	6
Edmondson	6
Ella	6
Emerson	6
Erik	6
Feldman	6
Finlay	6
Fischer	6
Fitzgibbon	6
Frazer	6
Freedman	6
Fuller	6
Garrett	6
Gavan	6
Gay	6
Geddes	6
Gemma	6
Gene	6
Godfrey	6
Gower	6
Groom	6
Hans	6
Hawke	6
Hodges	6
Hoffman	6
Holden	6
Holt	6
Howarth	6
Howe	6
Hull	6
Humphries	6
Hurley	6
Hutchison	6
Jacinta	6
Jarryd	6
Jed	6
Jen	6
Jerry	6
Joanna	6
Jono	6
Judd	6
Justine	6
Katy	6
Kavanagh	6
Kearney	6
Kidd	6
Kingsley	6
Knox	6
Kristy	6
Levi	6
Lew	6
Lindy	6
Livingstone	6
Lockwood	6
Lovett	6
Madden	6
Maloney	6
Mansfield	6
Manuel	6
Marco	6
Maree	6
Margot	6
Marks	6
Massey	6
Maureen	6
Maurice	6
Maurie	6
McCallum	6
McFarlane	6
McLennan	6
McPhee	6
Mead	6
Meyer	6
Milan	6
Molly	6
Montgomery	6
Muller	6
Myers	6
N.	6
Naylor	6
Ned	6
Nichols	6
Nicky	6
Norma	6
Norton	6
Nugent	6
O'Donoghue	6
O'Halloran	6
Oakley	6
Oscar	6
Oxley	6
Peterson	6
Phelps	6
Picken	6
Pike	6
Quentin	6
Quigley	6
Reddy	6
Regan	6
Rhodes	6
Roe	6
Rupert	6
Russo	6
Sanderson	6
Sergio	6
Sheldon	6
Shelton	6
Singer	6
Sorensen	6
Stafford	6
Strauss	6
Summers	6
Syd	6
Sykes	6
Tait	6
Talbot	6
Tamara	6
Tiffany	6
Tina	6
Tippett	6
Tomlinson	6
Trish	6
Twomey	6
Underwood	6
Val	6
Valentine	6
Vella	6
Warner	6
Wearne	6
Weller	6
Wesley	6
Wheatley	6
Wilkins	6
Wills	6
Windsor	6
Woodward	6
Wyatt	6
Yvette	6
da	6
executive)	6
(Australia)	5
(barrister)	5
(conductor)	5
(darts	5
(figure	5
(music	5
(netballer)	5
(news	5
(newsreader)	5
(philosopher)	5
(songwriter)	5
1967)	5
1976)	5
1979)	5
1983)	5
1984)	5
1990)	5
1991)	5
Abbey	5
Adcock	5
Alana	5
Alby	5
Alyssa	5
Amelia	5
André	5
Angelo	5
Archie	5
Asher	5
Austen	5
Ayres	5
Bacon	5
Barber	5
Barr	5
Bassett	5
Batchelor	5
Beaton	5
Beckett	5
Bedford	5
Bentley	5
Bert	5
Blackman	5
Boon	5
Bradbury	5
Bree	5
Bret	5
Briony	5
Brittany	5
Brock	5
Brook	5
Brooker	5
Buckingham	5
Burt	5
Carlo	5
Carlton	5
Cartwright	5
Cathy	5
Chisholm	5
Clancy	5
Clem	5
Coles	5
Collette	5
Conrad	5
Cornes	5
Crabb	5
Craven	5
Crisp	5
